file_name,run_order,sample_type,condition,timepoint,group,condition_timepoint,condition_timepoint_group
260226_Hpos_000_AnalyticalBlnk.mzML,0,Analytical Blank,Analytical Blank,,,,
260226_Hpos_001_AnalyticalBlnk.mzML,1,Analytical Blank,Analytical Blank,,,,
260226_Hpos_002_AnalyticalBlnk.mzML,2,Analytical Blank,Analytical Blank,,,,
260226_Hpos_005_MethodBlnk.mzML,5,Method Blank,Method Blank,,,,
260226_Hpos_006_MethodBlnk.mzML,6,Method Blank,Method Blank,,,,
260226_Hpos_007_QC_cond.mzML,7,Conditioning,Conditioning,,,,
260226_Hpos_008_QC_cond.mzML,8,Conditioning,Conditioning,,,,
260226_Hpos_009_QC_cond.mzML,9,Conditioning,Conditioning,,,,
260226_Hpos_010_QC_cond.mzML,10,Conditioning,Conditioning,,,,
260226_Hpos_017_QC.mzML,17,Pooled Sample,Pooled Sample,,0,Pooled Sample,Pooled Sample
260226_Hpos_018_spelt_t8_A.mzML,18,Sample,spelt,8,A,spelt_8,spelt_8_A
260226_Hpos_019_buckwheat_t1_C.mzML,19,Sample,buckwheat,1,C,buckwheat_1,buckwheat_1_C
260226_Hpos_020_wheat_t8_H.mzML,20,Sample,wheat,8,H,wheat_8,wheat_8_H
260226_Hpos_021_spelt_t1_D.mzML,21,Sample,spelt,1,D,spelt_1,spelt_1_D
260226_Hpos_022_buckwheat_t1_E.mzML,22,Sample,buckwheat,1,E,buckwheat_1,buckwheat_1_E
260226_Hpos_023_wheat_t1_G.mzML,23,Sample,wheat,1,G,wheat_1,wheat_1_G
260226_Hpos_024_dinkel_t8_C.mzML,24,Sample,dinkel,8,C,dinkel_8,dinkel_8_C
260226_Hpos_025_wheat_t1_A.mzML,25,Sample,wheat,1,A,wheat_1,wheat_1_A
260226_Hpos_026_wheat_t8_G.mzML,26,Sample,wheat,8,G,wheat_8,wheat_8_G
260226_Hpos_027_1_t0.mzML,27,Sample,starter,0,0,starter,starter
260226_Hpos_028_buckwheat_t8_D.mzML,28,Sample,buckwheat,8,D,buckwheat_8,buckwheat_8_D
260226_Hpos_029_wheat_t1_H.mzML,29,Sample,wheat,1,H,wheat_1,wheat_1_H
260226_Hpos_030_wheat_t8_A.mzML,30,Sample,wheat,8,A,wheat_8,wheat_8_A
260226_Hpos_031_maize_t8_G.mzML,31,Sample,maize,8,G,maize_8,maize_8_G
260226_Hpos_032_buckwheat_t1_F.mzML,32,Sample,buckwheat,1,F,buckwheat_1,buckwheat_1_F
260226_Hpos_033_buckwheat_t1_D.mzML,33,Sample,buckwheat,1,D,buckwheat_1,buckwheat_1_D
260226_Hpos_034_maize_t8_H.mzML,34,Sample,maize,8,H,maize_8,maize_8_H
260226_Hpos_035_spelt_t8_D.mzML,35,Sample,spelt,8,D,spelt_8,spelt_8_D
260226_Hpos_036_maize_t1_G.mzML,36,Sample,maize,1,G,maize_1,maize_1_G
260226_Hpos_037_wheat_t1_B.mzML,37,Sample,wheat,1,B,wheat_1,wheat_1_B
260226_Hpos_038_wheat_t8_B.mzML,38,Sample,wheat,8,B,wheat_8,wheat_8_B
260226_Hpos_039_maize_t8_E.mzML,39,Sample,maize,8,E,maize_8,maize_8_E
260226_Hpos_040_spelt_t1_A.mzML,40,Sample,spelt,1,A,spelt_1,spelt_1_A
260226_Hpos_041_dinkel_t1_B.mzML,41,Sample,dinkel,1,B,dinkel_1,dinkel_1_B
260226_Hpos_042_maize_t1_F.mzML,42,Sample,maize,1,F,maize_1,maize_1_F
260226_Hpos_043_maize_t1_H.mzML,43,Sample,maize,1,H,maize_1,maize_1_H
260226_Hpos_044_buckwheat_t8_E.mzML,44,Sample,buckwheat,8,E,buckwheat_8,buckwheat_8_E
260226_Hpos_045_dinkel_t8_B.mzML,45,Sample,dinkel,8,B,dinkel_8,dinkel_8_B
260226_Hpos_046_buckwheat_t8_C.mzML,46,Sample,buckwheat,8,C,buckwheat_8,buckwheat_8_C
260226_Hpos_047_dinkel_t1_C.mzML,47,Sample,dinkel,1,C,dinkel_1,dinkel_1_C
260226_Hpos_048_buckwheat_t8_F.mzML,48,Sample,buckwheat,8,F,buckwheat_8,buckwheat_8_F
260226_Hpos_049_maize_t8_F.mzML,49,Sample,maize,8,F,maize_8,maize_8_F
260226_Hpos_050_maize_t1_E.mzML,50,Sample,maize,1,E,maize_1,maize_1_E
260226_Hpos_051_QC.mzML,51,Pooled Sample,Pooled Sample,,,Pooled Sample,Pooled Sample
260226_Hpos_052_spelt_t1_A.mzML,52,Sample,spelt,1,A,spelt_1,spelt_1_A
260226_Hpos_053_1_t0.mzML,53,Sample,starter,0,0,starter,starter
260226_Hpos_054_buckwheat_t1_F.mzML,54,Sample,buckwheat,1,F,buckwheat_1,buckwheat_1_F
260226_Hpos_055_dinkel_t1_B.mzML,55,Sample,dinkel,1,B,dinkel_1,dinkel_1_B
260226_Hpos_056_wheat_t1_H.mzML,56,Sample,wheat,1,H,wheat_1,wheat_1_H
260226_Hpos_057_buckwheat_t1_C.mzML,57,Sample,buckwheat,1,C,buckwheat_1,buckwheat_1_C
260226_Hpos_058_maize_t1_E.mzML,58,Sample,maize,1,E,maize_1,maize_1_E
260226_Hpos_059_wheat_t1_A.mzML,59,Sample,wheat,1,A,wheat_1,wheat_1_A
260226_Hpos_060_wheat_t1_G.mzML,60,Sample,wheat,1,G,wheat_1,wheat_1_G
260226_Hpos_061_maize_t8_E.mzML,61,Sample,maize,8,E,maize_8,maize_8_E
260226_Hpos_062_buckwheat_t1_E.mzML,62,Sample,buckwheat,1,E,buckwheat_1,buckwheat_1_E
260226_Hpos_063_dinkel_t8_C.mzML,63,Sample,dinkel,8,C,dinkel_8,dinkel_8_C
260226_Hpos_064_dinkel_t8_B.mzML,64,Sample,dinkel,8,B,dinkel_8,dinkel_8_B
260226_Hpos_065_maize_t8_H.mzML,65,Sample,maize,8,H,maize_8,maize_8_H
260226_Hpos_066_maize_t8_G.mzML,66,Sample,maize,8,G,maize_8,maize_8_G
260226_Hpos_067_maize_t1_G.mzML,67,Sample,maize,1,G,maize_1,maize_1_G
260226_Hpos_068_maize_t8_F.mzML,68,Sample,maize,8,F,maize_8,maize_8_F
260226_Hpos_069_dinkel_t1_C.mzML,69,Sample,dinkel,1,C,dinkel_1,dinkel_1_C
260226_Hpos_070_buckwheat_t8_C.mzML,70,Sample,buckwheat,8,C,buckwheat_8,buckwheat_8_C
260226_Hpos_071_spelt_t8_A.mzML,71,Sample,spelt,8,A,spelt_8,spelt_8_A
260226_Hpos_072_maize_t1_F.mzML,72,Sample,maize,1,F,maize_1,maize_1_F
260226_Hpos_073_buckwheat_t8_D.mzML,73,Sample,buckwheat,8,D,buckwheat_8,buckwheat_8_D
260226_Hpos_074_buckwheat_t8_E.mzML,74,Sample,buckwheat,8,E,buckwheat_8,buckwheat_8_E
260226_Hpos_075_spelt_t8_D.mzML,75,Sample,spelt,8,D,spelt_8,spelt_8_D
260226_Hpos_076_spelt_t1_D.mzML,76,Sample,spelt,1,D,spelt_1,spelt_1_D
260226_Hpos_077_wheat_t8_H.mzML,77,Sample,wheat,8,H,wheat_8,wheat_8_H
260226_Hpos_078_buckwheat_t1_D.mzML,78,Sample,buckwheat,1,D,buckwheat_1,buckwheat_1_D
260226_Hpos_079_wheat_t1_B.mzML,79,Sample,wheat,1,B,wheat_1,wheat_1_B
260226_Hpos_080_wheat_t8_G.mzML,80,Sample,wheat,8,G,wheat_8,wheat_8_G
260226_Hpos_081_wheat_t8_B.mzML,81,Sample,wheat,8,B,wheat_8,wheat_8_B
260226_Hpos_082_wheat_t8_A.mzML,82,Sample,wheat,8,A,wheat_8,wheat_8_A
260226_Hpos_083_maize_t1_H.mzML,83,Sample,maize,1,H,maize_1,maize_1_H
260226_Hpos_084_buckwheat_t8_F.mzML,84,Sample,buckwheat,8,F,buckwheat_8,buckwheat_8_F
260226_Hpos_085_QC.mzML,85,Pooled Sample,Pooled Sample,,0,Pooled Sample,Pooled Sample
260226_Hpos_086_spelt_t8_A.mzML,86,Sample,spelt,8,A,spelt_8,spelt_8_A
260226_Hpos_087_dinkel_t8_C.mzML,87,Sample,dinkel,8,C,dinkel_8,dinkel_8_C
260226_Hpos_088_wheat_t8_A.mzML,88,Sample,wheat,8,A,wheat_8,wheat_8_A
260226_Hpos_089_maize_t8_E.mzML,89,Sample,maize,8,E,maize_8,maize_8_E
260226_Hpos_090_spelt_t1_D.mzML,90,Sample,spelt,1,D,spelt_1,spelt_1_D
260226_Hpos_091_buckwheat_t8_F.mzML,91,Sample,buckwheat,8,F,buckwheat_8,buckwheat_8_F
260226_Hpos_092_dinkel_t1_B.mzML,92,Sample,dinkel,1,B,dinkel_1,dinkel_1_B
260226_Hpos_093_maize_t1_G.mzML,93,Sample,maize,1,G,maize_1,maize_1_G
260226_Hpos_094_wheat_t1_B.mzML,94,Sample,wheat,1,B,wheat_1,wheat_1_B
260226_Hpos_095_1_t0.mzML,95,Sample,starter,0,0,starter,starter
260226_Hpos_096_buckwheat_t8_C.mzML,96,Sample,buckwheat,8,C,buckwheat_8,buckwheat_8_C
260226_Hpos_097_buckwheat_t1_C.mzML,97,Sample,buckwheat,1,C,buckwheat_1,buckwheat_1_C
260226_Hpos_098_maize_t1_H.mzML,98,Sample,maize,1,H,maize_1,maize_1_H
260226_Hpos_099_spelt_t1_A.mzML,99,Sample,spelt,1,A,spelt_1,spelt_1_A
260226_Hpos_100_buckwheat_t8_E.mzML,100,Sample,buckwheat,8,E,buckwheat_8,buckwheat_8_E
260226_Hpos_101_buckwheat_t8_D.mzML,101,Sample,buckwheat,8,D,buckwheat_8,buckwheat_8_D
260226_Hpos_102_wheat_t8_G.mzML,102,Sample,wheat,8,G,wheat_8,wheat_8_G
260226_Hpos_103_dinkel_t1_C.mzML,103,Sample,dinkel,1,C,dinkel_1,dinkel_1_C
260226_Hpos_104_buckwheat_t1_E.mzML,104,Sample,buckwheat,1,E,buckwheat_1,buckwheat_1_E
260226_Hpos_105_dinkel_t8_B.mzML,105,Sample,dinkel,8,B,dinkel_8,dinkel_8_B
260226_Hpos_106_buckwheat_t1_D.mzML,106,Sample,buckwheat,1,D,buckwheat_1,buckwheat_1_D
260226_Hpos_107_spelt_t8_D.mzML,107,Sample,spelt,8,D,spelt_8,spelt_8_D
260226_Hpos_108_maize_t1_E.mzML,108,Sample,maize,1,E,maize_1,maize_1_E
260226_Hpos_109_wheat_t8_H.mzML,109,Sample,wheat,8,H,wheat_8,wheat_8_H
260226_Hpos_110_maize_t8_F.mzML,110,Sample,maize,8,F,maize_8,maize_8_F
260226_Hpos_111_maize_t1_F.mzML,111,Sample,maize,1,F,maize_1,maize_1_F
260226_Hpos_112_wheat_t1_H.mzML,112,Sample,wheat,1,H,wheat_1,wheat_1_H
260226_Hpos_113_wheat_t1_G.mzML,113,Sample,wheat,1,G,wheat_1,wheat_1_G
260226_Hpos_114_maize_t8_G.mzML,114,Sample,maize,8,G,maize_8,maize_8_G
260226_Hpos_115_wheat_t8_B.mzML,115,Sample,wheat,8,B,wheat_8,wheat_8_B
260226_Hpos_116_maize_t8_H.mzML,116,Sample,maize,8,H,maize_8,maize_8_H
260226_Hpos_117_buckwheat_t1_F.mzML,117,Sample,buckwheat,1,F,buckwheat_1,buckwheat_1_F
260226_Hpos_118_wheat_t1_A.mzML,118,Sample,wheat,1,A,wheat_1,wheat_1_A
260226_Hpos_119_QC.mzML,119,Pooled Sample,Pooled Sample,,0,Pooled Sample,Pooled Sample